num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
11148251,7456,2022-12-14,1177592,11711,1,460,16,610
9905620,7206,2022-08-29,704198,9509,6,377,19,538
10704494,7428,2022-11-04,1076197,11959,0,348,14,445
9546534,7129,2022-06-14,651031,8803,7,399,14,355
8655577,6209,2021-10-04,375938,10426,3,0,2,99
9620057,7113,2022-07-18,710738,10623,23,303,18,481
9166321,6864,2022-04-17,551728,8690,2,265,1,209
7697793,5692,2021-04-26,181284,6423,4,49,3,118
8157467,5910,2021-08-11,351852,10083,6,109,33,178
8150146,5771,2021-07-09,347074,9377,93,58,8,121
9208393,6808,2022-03-31,496474,7199,12,427,20,872
10285339,7230,2022-09-23,884338,9839,2,293,29,535
9435628,6967,2022-05-10,663697,9071,3,726,14,336
8039386,5813,2021-07-25,338187,10182,11,208,1,137
7490421,5657,2021-04-03,171546,4006,1,13,14,160
9045837,6541,2022-01-06,388541,7141,3,178,5,168
9431246,6931,2022-05-05,594580,7980,8,515,20,827
11023729,7424,2022-12-08,1156396,11652,3,362,6,315
8593366,6108,2021-09-16,430595,10902,8,228,13,157
10146693,7240,2022-09-13,778566,9384,13,404,19,273
8089582,5746,2021-07-03,337137,10157,1,59,0,64
9506621,7048,2022-07-11,659994,9790,9,319,30,490
9135779,6688,2022-03-08,524443,8453,3,412,11,476
8645280,6449,2021-11-15,421814,9518,10,739,11,306
7597888,5664,2021-04-11,185493,5187,0,45,4,18
8170970,5977,2021-08-17,349028,10192,6,76,39,87
7281370,5588,2021-03-14,123143,2315,1,9,2,24
10629461,7350,2022-10-19,1045881,11384,7,435,14,531
8058783,5745,2021-06-27,317630,10583,11,53,0,102
9643176,7121,2022-07-25,742428,10794,1,227,14,558
9431222,6924,2022-05-07,580455,7604,0,297,0,428
9007231,6545,2022-02-22,368097,5761,3,343,11,387
8035009,5711,2021-06-09,322178,12534,16,1276,16,345
9006857,6576,2022-01-21,389779,7014,1,274,10,304
8675414,6325,2021-10-28,461788,10645,1,160,17,491
8178505,6004,2021-08-18,349731,10227,11,1740,20,159
7963654,5648,2021-05-23,264660,10966,4,50,2,204
7793267,5721,2021-05-04,175478,6098,7,35,12,441
9470652,7133,2022-06-19,669197,9313,7,237,0,258
9128269,6773,2022-03-28,522020,8633,2,216,25,366
10593396,7348,2022-10-18,971772,11465,10,479,22,421
9010697,6581,2022-01-17,396269,7314,4,328,1,233
8917110,6557,2021-12-27,405145,7922,4,40,1,43
9426243,7042,2022-05-15,615485,8352,2,267,0,365
10970673,7439,2022-12-01,1147276,11472,7,468,22,566
8011517,5752,2021-06-19,343880,13332,0,0,0,0
7568031,5655,2021-04-12,178483,5160,3,20,4,36
8599187,6107,2021-09-21,407691,10739,12,154,13,113
9220166,6748,2022-03-19,517767,8036,0,279,2,260
10855940,7431,2022-11-23,1081446,11277,0,114,5,29
8102918,5750,2021-06-30,354397,9967,15,42,20,94
6092681,5477,2021-03-09,107590,2126,8,10,52,18
8167694,5970,2021-08-15,350761,10189,4,113,3,77
7681434,5697,2021-04-24,191944,6079,0,3,15,282
11010732,7424,2022-12-07,1157005,11750,4,431,22,351
8642572,6149,2021-09-22,418609,10877,13,82,24,308
8011517,5752,2021-06-18,343880,13332,0,0,17,353
8097112,5690,2021-06-04,293728,11078,0,113,15,160
7406375,5644,2021-03-28,159450,3567,0,0,0,294
8949836,6572,2021-12-19,379534,7966,2,97,0,151
8763186,6501,2021-12-05,433518,8895,3,14,7,193
9010697,6581,2022-01-14,402804,7571,0,271,3,324
9543699,7151,2022-08-08,706558,10161,6,693,15,460
9877437,7187,2022-08-12,743134,8999,0,435,20,504
8019944,5726,2021-06-15,356693,12829,51,817,10,149
7185224,5528,2021-03-03,108498,2044,2,24,32,37
8815153,6533,2021-12-13,421471,7874,5,235,8,291
9537207,7134,2022-06-09,694203,9313,5,716,9,354
8683134,6262,2021-10-19,365898,10100,21,467,23,206
8157466,5908,2021-08-12,348973,9953,32,159,38,63
8167031,5951,2021-08-13,349004,10080,2,91,29,313
8963365,6560,2022-01-10,390944,7821,5,164,7,232
8068662,5987,2021-07-17,331494,9671,0,45,2,93
8251859,6098,2021-09-01,406524,10205,10,396,19,186
11239551,7457,2022-12-16,1109489,11689,0,194,26,42
8734059,6467,2021-11-16,434788,9206,6,1374,23,529
10489689,7306,2022-10-09,863461,10972,1,323,1,362
10020259,7219,2022-08-27,760483,9571,1,268,0,330
