service_type,service_id,num_endpoints
regular,07011,1
illfitting,13151,2
illfitting,07559,2
regular,00769,1
illfitting,02244,1
illfitting,06167,1
illfitting,01593,1
illfitting,16105,1
illfitting,00617,1
illfitting,08546,3
illfitting,01888,1
illfitting,16126,1
illfitting,12563,1
illfitting,11946,2
illfitting,09511,1
illfitting,06171,1
illfitting,04200,1
illfitting,14127,1
illfitting,13199,1
illfitting,04369,3
illfitting,00618,1
illfitting,06207,1
illfitting,01271,1
regular,07284,31
regular,12083,2
regular,17847,3
regular,01006,5
illfitting,00653,1
regular,18003,6
regular,12354,3
regular,06351,4
regular,09785,1
illfitting,05167,1
illfitting,14960,1
illfitting,04928,1
illfitting,00553,4
illfitting,16453,2
regular,11974,1
regular,12670,1
regular,00156,1
illfitting,10065,1
illfitting,13403,1
illfitting,03618,1
illfitting,02191,1
illfitting,05258,1
regular,18265,2
regular,00000,4
illfitting,09158,1
illfitting,05844,1
illfitting,16624,3
regular,14517,1
illfitting,14094,1
illfitting,05958,1
illfitting,10324,1
illfitting,02962,1
illfitting,04695,1
illfitting,07577,1
illfitting,05123,1
illfitting,11398,1
illfitting,11119,1
regular,16053,1
regular,00871,2
illfitting,14342,2
regular,12120,1
illfitting,09071,1
regular,17933,1
illfitting,01862,1
regular,16085,1
illfitting,10055,2
illfitting,03852,1
regular,10495,1
illfitting,16206,1
illfitting,13234,1
regular,04183,5
illfitting,17336,2
illfitting,04308,1
regular,07851,4
regular,12407,2
illfitting,00609,1
illfitting,04289,1
illfitting,12940,1
illfitting,07582,1
regular,00161,2
regular,02589,1
illfitting,08655,1
illfitting,00498,2
illfitting,15754,1
regular,18572,2
regular,12385,2
illfitting,14379,2
illfitting,02387,1
illfitting,13123,1
illfitting,05548,1
illfitting,14243,1
illfitting,11667,1
illfitting,11589,1
illfitting,08343,1
illfitting,04991,1
regular,03542,19
illfitting,07594,1
illfitting,10363,1
illfitting,15106,1
illfitting,04916,1
illfitting,04687,1
regular,12873,2
illfitting,03888,1
illfitting,05021,1
illfitting,08078,1
illfitting,11139,1
regular,16742,3
regular,07796,3
regular,17704,7
regular,04569,1
illfitting,05765,1
illfitting,09566,1
illfitting,15443,1
illfitting,02943,1
regular,03134,3
illfitting,15655,1
regular,10114,1
regular,04106,1
illfitting,04829,1
regular,03209,2
illfitting,01398,1
illfitting,08154,1
illfitting,06185,1
illfitting,16589,1
illfitting,09032,1
illfitting,14242,1
illfitting,01509,1
regular,00048,16
illfitting,15375,1
illfitting,11192,1
illfitting,09515,1
illfitting,15665,1
illfitting,12988,1
illfitting,05770,1
illfitting,14295,1
illfitting,01460,1
illfitting,09036,1
illfitting,18527,4
regular,07922,3
illfitting,05144,1
illfitting,08272,1
illfitting,02816,1
illfitting,02378,1
regular,16875,3
regular,02575,2
regular,05616,2
illfitting,13152,1
illfitting,01359,1
regular,12797,1
illfitting,15562,1
illfitting,17224,1
illfitting,03840,1
illfitting,05025,1
illfitting,02885,1
illfitting,05132,1
regular,06674,28
illfitting,11565,1
illfitting,09014,1
illfitting,03994,1
illfitting,15221,1
illfitting,07595,1
illfitting,13241,1
illfitting,02037,1
illfitting,10213,1
illfitting,04043,1
illfitting,11423,2
regular,12361,2
illfitting,15555,1
illfitting,08432,1
regular,14471,2
illfitting,13305,1
illfitting,16128,1
illfitting,16405,2
illfitting,01622,3
regular,12445,6
regular,12118,4
illfitting,15503,1
illfitting,04625,1
illfitting,16475,1
illfitting,08163,1
illfitting,05856,1
illfitting,04612,1
illfitting,15533,1
illfitting,05366,3
regular,17711,4
illfitting,14182,2
illfitting,14238,1
regular,04378,1
illfitting,02382,1
illfitting,05027,1
illfitting,08371,1
illfitting,04765,1
illfitting,02321,1
regular,14476,9
illfitting,03960,1
regular,04543,1
illfitting,17068,2
regular,07900,2
illfitting,05878,1
illfitting,11932,1
illfitting,01267,1
illfitting,06899,1
illfitting,15936,1
illfitting,11833,1
illfitting,15610,1
illfitting,15912,1
illfitting,00516,2
illfitting,15432,1
regular,18264,1
illfitting,11705,1
regular,03376,9
illfitting,08414,1
regular,10594,1
illfitting,09877,1
regular,12845,2
illfitting,09015,1
regular,00987,1
regular,14923,1
illfitting,17168,2
illfitting,16199,1
illfitting,04747,1
illfitting,01963,1
illfitting,08996,1
regular,03227,3
illfitting,02677,1
illfitting,06965,1
illfitting,01348,1
illfitting,04198,1
illfitting,02694,1
illfitting,15681,1
illfitting,11722,1
illfitting,02762,1
regular,00211,2
regular,16740,1
illfitting,16155,1
illfitting,08420,1
regular,00701,1
illfitting,05152,1
regular,12792,3
illfitting,15875,2
illfitting,01944,1
regular,12300,1
illfitting,02161,1
regular,11526,3
illfitting,11148,1
